t,x1,y1,z1,x2,y2,z2,x3,y3,z3
0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,5.000000,0.000000
1.000000,0.000000,0.000000,0.000000,5.000000,0.003654,0.000000,-0.003654,5.000000,0.000000
2.000000,0.000000,0.000000,0.000000,5.000000,0.007307,0.000000,-0.007307,5.000000,0.000000
2.999999,0.000000,0.000000,0.000000,5.000000,0.010961,0.000000,-0.010961,5.000000,0.000000
3.999998,0.000000,0.000000,0.000000,5.000000,0.014614,0.000000,-0.014614,5.000000,0.000000
4.999998,0.000000,0.000000,0.000000,4.999997,0.018268,0.000000,-0.018268,4.999997,0.000000
5.999997,0.000000,0.000000,0.000000,4.999992,0.021921,0.000000,-0.021921,4.999992,0.000000
6.999996,0.000000,0.000000,0.000000,4.999988,0.025575,0.000000,-0.025575,4.999988,0.000000
7.999995,0.000000,0.000000,0.000000,4.999983,0.029229,0.000000,-0.029229,4.999983,0.000000
8.999998,0.000000,0.000000,0.000000,4.999978,0.032882,0.000000,-0.032882,4.999978,0.000000
10.000002,0.000000,0.000000,0.000000,4.999973,0.036536,0.000000,-0.036536,4.999973,0.000000
11.000006,0.000000,0.000000,0.000000,4.999969,0.040189,0.000000,-0.040189,4.999969,0.000000
12.000010,0.000000,0.000000,0.000000,4.999964,0.043843,0.000000,-0.043843,4.999964,0.000000
13.000013,0.000000,0.000000,0.000000,4.999959,0.047496,0.000000,-0.047496,4.999959,0.000000
14.000017,0.000000,0.000000,0.000000,4.999951,0.051150,0.000000,-0.051150,4.999951,0.000000
15.000021,0.000000,0.000000,0.000000,4.999941,0.054803,0.000000,-0.054803,4.999941,0.000000
16.000025,0.000000,0.000000,0.000000,4.999932,0.058457,0.000000,-0.058457,4.999932,0.000000
17.000029,0.000000,0.000000,0.000000,4.999922,0.062110,0.000000,-0.062110,4.999922,0.000000
18.000032,0.000000,0.000000,0.000000,4.999913,0.065764,0.000000,-0.065764,4.999913,0.000000
19.000036,0.000000,0.000000,0.000000,4.999903,0.069418,0.000000,-0.069417,4.999903,0.000000
20.000040,0.000000,0.000000,0.000000,4.999894,0.073071,0.000000,-0.073071,4.999894,0.000000
21.000044,0.000000,0.000000,0.000000,4.999884,0.076724,0.000000,-0.076724,4.999884,0.000000
22.000048,0.000000,0.000000,0.000000,4.999875,0.080378,0.000000,-0.080378,4.999875,0.000000
23.000051,0.000000,0.000000,0.000000,4.999862,0.084031,0.000000,-0.084031,4.999862,0.000000
24.000055,0.000000,0.000000,0.000000,4.999847,0.087685,0.000000,-0.087685,4.999847,0.000000
25.000059,0.000000,0.000000,0.000000,4.999833,0.091338,0.000000,-0.091338,4.999833,0.000000
26.000063,0.000000,0.000000,0.000000,4.999819,0.094992,0.000000,-0.094992,4.999819,0.000000
27.000067,0.000000,0.000000,0.000000,4.999804,0.098645,0.000000,-0.098645,4.999804,0.000000
28.000071,0.000000,0.000000,0.000000,4.999790,0.102299,0.000000,-0.102299,4.999790,0.000000
29.000074,0.000000,0.000000,0.000000,4.999776,0.105952,0.000000,-0.105952,4.999776,0.000000
30.000078,0.000000,0.000000,0.000000,4.999762,0.109606,0.000000,-0.109605,4.999762,0.000000
31.000082,0.000000,0.000000,0.000000,4.999747,0.113259,0.000000,-0.113259,4.999747,0.000000
32.000084,0.000000,0.000000,0.000000,4.999729,0.116912,0.000000,-0.116912,4.999729,0.000000
33.000069,0.000000,0.000000,0.000000,4.999710,0.120566,0.000000,-0.120566,4.999710,0.000000
34.000053,0.000000,0.000000,0.000000,4.999691,0.124219,0.000000,-0.124219,4.999691,0.000000
35.000038,0.000000,0.000000,0.000000,4.999672,0.127872,0.000000,-0.127872,4.999672,0.000000
36.000023,0.000000,0.000000,0.000000,4.999653,0.131526,0.000000,-0.131525,4.999653,0.000000
37.000008,0.000000,0.000000,0.000000,4.999634,0.135179,0.000000,-0.135179,4.999634,0.000000
37.999992,0.000000,0.000000,0.000000,4.999615,0.138832,0.000000,-0.138832,4.999615,0.000000
38.999977,0.000000,0.000000,0.000000,4.999596,0.142486,0.000000,-0.142485,4.999596,0.000000
39.999962,0.000000,0.000000,0.000000,4.999577,0.146139,0.000000,-0.146139,4.999577,0.000000
40.999947,0.000000,0.000000,0.000000,4.999553,0.149792,0.000000,-0.149792,4.999553,0.000000
41.999931,0.000000,0.000000,0.000000,4.999529,0.153446,0.000000,-0.153445,4.999529,0.000000
42.999916,0.000000,0.000000,0.000000,4.999506,0.157099,0.000000,-0.157098,4.999506,0.000000
43.999901,0.000001,0.000001,0.000000,4.999482,0.160752,0.000000,-0.160752,4.999482,0.000000
44.999886,0.000001,0.000001,0.000000,4.999458,0.164405,0.000000,-0.164405,4.999458,0.000000
45.999870,0.000001,0.000001,0.000000,4.999434,0.168058,0.000000,-0.168058,4.999434,0.000000
46.999855,0.000001,0.000001,0.000000,4.999410,0.171711,0.000000,-0.171711,4.999410,0.000000
47.999840,0.000001,0.000001,0.000000,4.999386,0.175365,0.000000,-0.175364,4.999386,0.000000
48.999825,0.000001,0.000001,0.000000,4.999362,0.179018,0.000000,-0.179017,4.999362,0.000000
49.999809,0.000001,0.000001,0.000000,4.999334,0.182671,0.000000,-0.182670,4.999334,0.000000
50.999794,0.000001,0.000001,0.000000,4.999306,0.186324,0.000000,-0.186323,4.999306,0.000000
51.999779,0.000001,0.000001,0.000000,4.999277,0.189977,0.000000,-0.189976,4.999277,0.000000
52.999763,0.000001,0.000001,0.000000,4.999249,0.193630,0.000000,-0.193630,4.999249,0.000000
53.999748,0.000001,0.000001,0.000000,4.999220,0.197283,0.000000,-0.197283,4.999220,0.000000
54.999733,0.000001,0.000001,0.000000,4.999191,0.200936,0.000000,-0.200936,4.999191,0.000000
55.999718,0.000001,0.000001,0.000000,4.999163,0.204589,0.000000,-0.204589,4.999163,0.000000
56.999702,0.000001,0.000001,0.000000,4.999134,0.208242,0.000000,-0.208242,4.999134,0.000000
57.999687,0.000001,0.000001,0.000000,4.999105,0.211895,0.000000,-0.211894,4.999105,0.000000
58.999672,0.000001,0.000001,0.000000,4.999072,0.215548,0.000000,-0.215547,4.999072,0.000000
59.999657,0.000001,0.000001,0.000000,4.999039,0.219201,0.000000,-0.219200,4.999039,0.000000
60.999641,0.000001,0.000001,0.000000,4.999005,0.222854,0.000000,-0.222853,4.999005,0.000000
61.999626,0.000001,0.000001,0.000000,4.998972,0.226506,0.000000,-0.226506,4.998972,0.000000
62.999611,0.000001,0.000001,0.000000,4.998939,0.230159,0.000000,-0.230159,4.998939,0.000000
63.999596,0.000001,0.000001,0.000000,4.998905,0.233812,0.000000,-0.233811,4.998905,0.000000
64.999580,0.000001,0.000001,0.000000,4.998872,0.237465,0.000000,-0.237464,4.998872,0.000000
65.999565,0.000001,0.000001,0.000000,4.998838,0.241118,0.000000,-0.241117,4.998838,0.000000
66.999550,0.000001,0.000001,0.000000,4.998805,0.244770,0.000000,-0.244770,4.998805,0.000000
67.999535,0.000001,0.000001,0.000000,4.998767,0.248423,0.000000,-0.248422,4.998767,0.000000
68.999519,0.000001,0.000001,0.000000,4.998729,0.252076,0.000000,-0.252075,4.998729,0.000000
69.999504,0.000001,0.000001,0.000000,4.998691,0.255728,0.000000,-0.255728,4.998691,0.000000
70.999489,0.000001,0.000001,0.000000,4.998652,0.259381,0.000000,-0.259380,4.998652,0.000000
71.999474,0.000001,0.000001,0.000000,4.998614,0.263033,0.000000,-0.263033,4.998614,0.000000
72.999458,0.000001,0.000001,0.000000,4.998576,0.266686,0.000000,-0.266685,4.998576,0.000000
73.999443,0.000001,0.000001,0.000000,4.998538,0.270338,0.000000,-0.270338,4.998538,0.000000
74.999428,0.000001,0.000002,0.000000,4.998500,0.273991,0.000000,-0.273990,4.998500,0.000000
75.999413,0.000002,0.000002,0.000000,4.998462,0.277644,0.000000,-0.277643,4.998462,0.000000
76.999397,0.000002,0.000002,0.000000,4.998419,0.281296,0.000000,-0.281295,4.998419,0.000000
77.999382,0.000002,0.000002,0.000000,4.998376,0.284949,0.000000,-0.284948,4.998376,0.000000
