x,y
-1.354534,0.010941
-0.282144,-0.560274
0.288430,0.523652
-0.613392,0.348964
-1.217566,0.048662
-0.815180,-0.130970
-0.163396,-0.574007
0.265542,0.339351
-0.392743,-0.082629
0.297220,-0.496643
-0.163671,0.622440
-0.551958,0.016068
-1.007904,-0.266655
-1.090579,0.129231
0.254280,-0.350795
0.328257,0.325526
-0.479812,0.117695
-0.471572,-0.464507
-0.049226,-0.137745
-0.098941,0.002335
0.152928,0.393643
-0.496750,-0.385128
-0.635640,-0.203757
-0.506821,-0.088214
-0.345317,-0.449583
-0.206427,0.514130
-0.057192,0.446654
0.115024,-0.566500
0.321024,0.196982
-0.063234,0.418546
-0.136570,0.526032
-1.090487,0.202017
-1.204840,0.037767
-1.063662,-0.018723
-1.359661,-0.012406
-0.393658,-0.510376
0.093875,0.478607
-1.029786,-0.232231
0.104678,0.474303
-0.978332,0.178671
0.172796,-0.155782
-1.217933,-0.067522
-1.011933,-0.026322
-0.443007,-0.540773
-1.209967,-0.135640
-1.196326,-0.108631
-0.371593,-0.366176
-0.147557,-0.194693
0.041047,0.341823
-0.008209,0.040422
-0.390179,0.542970
-1.043153,0.163656
-0.294961,0.543336
0.004608,-0.130970
0.164190,-0.512757
0.088015,0.297052
-0.925962,-0.084735
0.031800,0.265740
-0.817835,-0.036668
0.254646,0.348598
0.037751,-0.358760
0.035829,-0.248802
-0.936399,0.093524
-0.699271,-0.048936
0.056887,0.389981
0.059175,-0.100757
-0.038331,-0.631596
-0.107364,0.520905
-0.483108,0.057909
-0.288369,0.011307
-0.287545,-0.447752
-0.873501,0.208609
0.084262,0.172079
-0.437605,0.487854
-0.026795,0.019456
-1.112186,0.000046
-0.527970,-0.177572
-0.495102,0.337977
-0.475051,0.345210
-0.097751,-0.714637
0.149266,0.489135
-0.461226,-0.020463
-0.043825,-0.141041
0.195685,-0.224357
-0.336161,0.223624
-1.130955,-0.161916
0.368725,0.275536
-0.500961,-0.234977
-0.204413,-0.114490
-0.060579,-0.801065
0.000580,-0.080615
0.258583,0.227012
-0.390088,-0.512940
-0.802545,-0.146443
0.132969,0.400143
-0.186102,0.182974
-0.544267,0.404263
-1.076754,0.020554
-1.295389,-0.031999
-0.292581,0.372127
-0.184729,0.414701
0.167577,0.044084
-0.142430,-0.530793
0.093509,-0.282128
0.268746,0.573183
-0.044282,0.328181
-0.963683,0.163839
0.285867,-0.434111
0.155034,-0.171255
-0.234077,0.027879
-0.238655,-0.031907
-0.011231,-0.575289
-0.256783,-0.141591
-0.073580,-0.727638
-0.628132,0.050218
-0.225379,0.405820
-0.572192,0.369015
0.062288,-0.174917
-0.542711,0.601199
-0.040803,-0.427427
-0.172369,0.095264
-0.096103,-0.165029
-1.130772,0.105152
0.119602,0.387051
-0.113865,-0.382382
-0.405194,0.375332
-0.131077,0.779733
-0.022675,0.121448
-0.366283,-0.446196
-0.062502,0.576113
0.114292,0.389157
-0.489334,0.345943
0.203742,0.246055
-0.337992,0.431364
-0.650288,-0.238731
-0.480361,0.294397
-0.350169,-0.465880
0.080050,0.485290
0.087008,0.003159
-0.207434,-0.063768
-0.162847,0.154958
-0.189764,-0.178579
0.126194,-0.554781
-1.051119,0.116871
-0.305857,0.293573
-0.679403,-0.296411
-0.154057,0.269860
-0.162938,0.736152
-1.257485,-0.010208
-0.123569,0.356655
-0.634083,0.100482
-0.293039,-0.136006
-1.201544,-0.079241
0.027863,0.297876
-0.012787,-0.455992
-0.133183,-0.242851
0.192206,-0.398129
